"fzg_typ","origin","messwerttyp","Einrichtpunkte"
"X254","Assembly","1-5_A2L.F","1"
"X254","Assembly","1-5_A2L.G","1"
"X254","Assembly","1-5_A2R.F","1"
"X254","Assembly","1-5_A2R.G","1"
"X254","Assembly","1-5_A4L.F","1"
"X254","Assembly","1-5_A4R.F","1"
"X254","Assembly","1-5_C1L.F","1"
"X254","Assembly","1-5_C1L.G","1"
"X254","Assembly","1-5_C1R.F","1"
"X254","Assembly","1-5_C1R.G","1"
"X254","Assembly","5-6_A1L.F","1"
"X254","Assembly","5-6_A1L.G","1"
"X254","Assembly","5-6_A1R.F","1"
"X254","Assembly","5-6_A1R.G","1"
"X254","Assembly","5-6_A2L.F","1"
"X254","Assembly","5-6_A2L.G","1"
"X254","Assembly","5-6_A2R.F","1"
"X254","Assembly","5-6_A2R.G","1"
"X254","Assembly","5-6_C3L.G","1"
"X254","Assembly","5-6_C3R.G","1"
"X254","Assembly","5-6_C3L.F","1"
"X254","Assembly","5-6_C3R.G","1"
"X254","Assembly","5-6_A4L.F","1"
"X254","Assembly","5-6_A4R.F","1"
"X254","Assembly","6-7_A1L.F","1"
"X254","Assembly","6-7_A1L.G","1"
"X254","Assembly","6-7_A1R.F","1"
"X254","Assembly","6-7_A1R.G","1"
"X254","Assembly","6-7_A2L.F","1"
"X254","Assembly","6-7_A2L.G","1"
"X254","Assembly","6-7_A2R.F","1"
"X254","Assembly","6-7_A2R.G","1"
"X254","Bodyshop","1-10_A1L.Z","1"
"X254","Bodyshop","1-10_A1R.Z","1"
"X254","Bodyshop","1-10_A2R.VNS","1"
"X254","Bodyshop","1-10_A2L.G","1"
"X254","Bodyshop","1-10_A2R.G","1"
"X254","Bodyshop","1-10_A2L.F","1"
"X254","Bodyshop","1-10_A2R.F","0"
"X254","Bodyshop","1-10_A3L.G","1"
"X254","Bodyshop","1-10_A3R.G","1"
"X254","Bodyshop","1-10_A3L.F","1"
"X254","Bodyshop","1-10_A3R.F","1"
"X254","Bodyshop","1-5_A0L.Z","1"
"X254","Bodyshop","1-5_A0R.Z","1"
"X254","Bodyshop","1-5_A1R.F","1"
"X254","Bodyshop","1-5_A1R.G","1"
"X254","Bodyshop","1-5_A1L.F","1"
"X254","Bodyshop","1-5_A1L.G","1"
"X254","Bodyshop","1-5_A2L.G","1"
"X254","Bodyshop","1-5_A2L.F","1"
"X254","Bodyshop","1-5_A2R.G","1"
"X254","Bodyshop","1-5_A2R.F","1"
"X254","Bodyshop","1-5_A4L.F","1"
"X254","Bodyshop","1-5_A4R.F","1"
"X254","Bodyshop","1-6_A0L.Z","1"
"X254","Bodyshop","1-6_A0R.Z","1"
"X254","Bodyshop","1-7_A1L.F","1"
"X254","Bodyshop","1-7_A1L.G","1"
"X254","Bodyshop","1-7_A1R.F","1"
"X254","Bodyshop","1-7_A1R.G","1"
"X254","Bodyshop","5-6_A1L.F","1"
"X254","Bodyshop","5-6_A1L.G","1"
"X254","Bodyshop","5-6_A1R.F","1"
"X254","Bodyshop","5-6_A1R.G","1"
"X254","Bodyshop","5-6_A2L.F","1"
"X254","Bodyshop","5-6_A2L.G","1"
"X254","Bodyshop","5-6_A2R.F","1"
"X254","Bodyshop","5-6_A2R.G","1"
"X254","Bodyshop","5-6_A4L.F","1"
"X254","Bodyshop","5-6_A4R.F","1"
"X254","Bodyshop","6-7_A1L.F","1"
"X254","Bodyshop","6-7_A1L.G","1"
"X254","Bodyshop","6-7_A1R.F","1"
"X254","Bodyshop","6-7_A1R.G","1"
"X254","Bodyshop","6-7_A2L.F","1"
"X254","Bodyshop","6-7_A2L.G","1"
"X254","Bodyshop","6-7_A2R.F","1"
"X254","Bodyshop","6-7_A2R.G","1"
"X254","Bodyshop","7-8_A1L.F","1"
"X254","Bodyshop","7-8_A1L.G","1"
"X254","Bodyshop","7-8_A1R.F","1"
"X254","Bodyshop","7-8_A1R.G","1"
"X254","Bodyshop","7-8_A2L.F","1"
"X254","Bodyshop","7-8_A2L.G","1"
"X254","Bodyshop","7-8_A2R.F","1"
"X254","Bodyshop","7-8_A2R.G","1"
"X254","Bodyshop","1-10_A1L.Z","1"
"X254","Bodyshop","1-10_A1R.Z","1"
"X254","Bodyshop","1-10_A2L.F","1"
"X254","Bodyshop","1-10_A2R.F","1"
"X254","Bodyshop","1-10_A2L.G","1"
"X254","Bodyshop","1-10_A2R.G","1"
"X254","Bodyshop","1-10_A3L.G","1"
"X254","Bodyshop","1-10_A3R.G","1"
"X254","Bodyshop","1-10_A3L.F","1"
"X254","Bodyshop","1-10_A3R.F","1"
"X254","Bodyshop","FE_ut_Finish_R.X","1"
"X254","Bodyshop","FE_ob_Finish_R.Z","1"
"X254","Bodyshop","FE_ob_Finish_L.Z","1"
"X254","Bodyshop","FE_ut_Finish_L.X","1"
"W214","Bodyshop","1-4_A3L.G","1"
"W214","Bodyshop","1-4_A3R.G","1"
"W214","Bodyshop","1-4_A3L.F","1"
"W214","Bodyshop","1-4_A3R.F","1"
"W214","Bodyshop","1-4_A2L.G","1"
"W214","Bodyshop","1-4_A2R.G","1"
"W214","Bodyshop","1-4_A2L.F","1"
"W214","Bodyshop","1-4_A2R.F","1"
"W214","Bodyshop","1-4_A1L.G","1"
"W214","Bodyshop","1-4_A1R.G","1"
"W214","Bodyshop","1-4_A1L.F","1"
"W214","Bodyshop","1-4_A1R.F","1"
"W214","Bodyshop","1-5_A0L.Z","1"
"W214","Bodyshop","1-5_A0R.Z","1"
"W214","Bodyshop","1-5_A1R.F","1"
"W214","Bodyshop","1-5_A1R.G","1"
"W214","Bodyshop","1-5_A1L.F","1"
"W214","Bodyshop","1-5_A1L.G","1"
"W214","Bodyshop","1-5_A2L.G","1"
"W214","Bodyshop","1-5_A2L.F","1"
"W214","Bodyshop","1-5_A2R.G","1"
"W214","Bodyshop","1-5_A2R.F","1"
"W214","Bodyshop","5-6_A1L.F","1"
"W214","Bodyshop","5-6_A1L.G","1"
"W214","Bodyshop","5-6_A1R.F","1"
"W214","Bodyshop","5-6_A1R.G","1"
"W214","Bodyshop","5-6_A2L.F","1"
"W214","Bodyshop","5-6_A2L.G","1"
"W214","Bodyshop","5-6_A2R.F","1"
"W214","Bodyshop","5-6_A2R.G","1"
"W214","Bodyshop","5-6_A4L.F","1"
"W214","Bodyshop","5-6_A4R.F","1"
"W214","Bodyshop","1-6_A0L.Z","1"
"W214","Bodyshop","1-6_A0R.Z","1"
"W214","Bodyshop","7-8_A1L.F","1"
"W214","Bodyshop","7-8_A1L.G","1"
"W214","Bodyshop","7-8_A1R.F","1"
"W214","Bodyshop","7-8_A1R.G","1"
"W214","Bodyshop","7-8_A2L.F","1"
"W214","Bodyshop","7-8_A2L.G","1"
"W214","Bodyshop","7-8_A2R.F","1"
"W214","Bodyshop","7-8_A2R.G","1"
"W214","Bodyshop","1-7_A1L.F","1"
"W214","Bodyshop","1-7_A1L.G","1"
"W214","Bodyshop","1-7_A1R.F","1"
"W214","Bodyshop","1-7_A1R.G","1"
"W214","Bodyshop","6-7_A1L.F","1"
"W214","Bodyshop","6-7_A1L.G","1"
"W214","Bodyshop","6-7_A1R.F","1"
"W214","Bodyshop","6-7_A1R.G","1"
"W214","Bodyshop","6-7_A2L.F","1"
"W214","Bodyshop","6-7_A2L.G","1"
"W214","Bodyshop","6-7_A2R.F","1"
"W214","Bodyshop","6-7_A2R.G","1"
"W214","Bodyshop","FE_ut_Finish_R.X","1"
"W214","Bodyshop","FE_ob_Finish_R.Z","1"
"W214","Bodyshop","FE_ob_Finish_L.Z","1"
"W214","Bodyshop","FE_ut_Finish_L.X","1"
"W214","Assembly","6-7_A1L.F","1"
"W214","Assembly","6-7_A1L.G","1"
"W214","Assembly","6-7_A1R.F","1"
"W214","Assembly","6-7_A1R.G","1"
"W214","Assembly","6-7_A2L.F","1"
"W214","Assembly","6-7_A2L.G","1"
"W214","Assembly","6-7_A2R.F","1"
"W214","Assembly","6-7_A2R.G","1"
"W214","Assembly","5-6_A1L.F","1"
"W214","Assembly","5-6_A1L.G","1"
"W214","Assembly","5-6_A1R.F","1"
"W214","Assembly","5-6_A1R.G","1"
"W214","Assembly","5-6_A2L.F","1"
"W214","Assembly","5-6_A2L.G","1"
"W214","Assembly","5-6_A2R.F","1"
"W214","Assembly","5-6_A2R.G","1"
"W214","Assembly","5-6_A4L.F","1"
"W214","Assembly","5-6_A4R.F","1"
"W214","Assembly","1-5_A1R.F","1"
"W214","Assembly","1-5_A1R.G","1"
"W214","Assembly","1-5_A1L.F","1"
"W214","Assembly","1-5_A1L.G","1"
"W214","Assembly","1-5_A2L.G","1"
"W214","Assembly","1-5_A2L.F","1"
"W214","Assembly","1-5_A2R.G","1"
"W214","Assembly","1-5_A2R.F","1"
"W214","Assembly","1-5_A4L.G","1"
"W214","Assembly","1-5_A4L.F","1"
"W214","Assembly","1-5_A4R.G","1"
"W214","Assembly","1-5_A4R.F","1"
"W214","Assembly","7-8_A1L.F","1"
