"fzg_typ","origin","messwerttyp_translated","messwerttyp"
"W177","Assembly","1-10_4LG","1-10_4LSG"
"W177","Assembly","1-10_4LF","1-10_4LUF"
"W177","Assembly","1-10_4RG","1-10_4RSG"
"W177","Assembly","1-10_4RF","1-10_4RUF"
"W177","Assembly","1-5_5LG","1-5_5LSG"
"W177","Assembly","1-5_5LF","1-5_5LUF"
"W177","Assembly","1-5_3LG","1-5_3LSG"
"W177","Assembly","1-5_3LF","1-5_3LUF"
"W177","Assembly","1-5_5RG","1-5_5RSG"
"W177","Assembly","1-5_5RF","1-5_5RUF"
"W177","Assembly","1-5_3RG","1-5_3RSG"
"W177","Assembly","1-5_3RF","1-5_3RUF"
"W177","Assembly","5-6_4LG","5-6_4LSG"
"W177","Assembly","5-6_4LF","5-6_4LUF"
"W177","Assembly","5-6_2LG","5-6_2LSG"
"W177","Assembly","5-6_2LF","5-6_2LUF"
"W177","Assembly","5-6_4RG","5-6_4RSG"
"W177","Assembly","5-6_4RF","5-6_4RUF"
"W177","Assembly","5-6_2RG","5-6_2RSG"
"W177","Assembly","5-6_2RF","5-6_2RUF"
"W177","Assembly","7-8_2LG","7-8_2LSG"
"W177","Assembly","7-8_2LF","7-8_2LUF"
"W177","Assembly","7-8_6LG","7-8_6LSG"
"W177","Assembly","7-8_6LF","7-8_6LUF"
"W177","Assembly","7-8_B_9LG","7-8_B_9LSG"
"W177","Assembly","6-7_5LG","6-7_5LSG"
"W177","Assembly","6-7_5LF","6-7_5LUF"
"W177","Assembly","6-7_2LG","6-7_2LSG"
"W177","Assembly","6-7_2LF","6-7_2LUF"
"W177","Assembly","7-8_2RG","7-8_2RSG"
"W177","Assembly","7-8_2RF","7-8_2RUF"
"W177","Assembly","7-8_6RG","7-8_6RSG"
"W177","Assembly","7-8_6RF","7-8_6RUF"
"W177","Assembly","7-8_B_9RG","7-8_B_9RSG"
"W177","Assembly","6-7_5RG","6-7_5RSG"
"W177","Assembly","6-7_5RF","6-7_5RUF"
"W177","Assembly","6-7_2RG","6-7_2RSG"
"W177","Assembly","6-7_2RF","6-7_2RUF"
"V177","Assembly","1-4_3LG","1-4_B_3LSG"
"V177","Assembly","1-4_3LF","1-4_B_3LUF"
"V177","Assembly","1-4_3RG","1-4_B_3RSG"
"V177","Assembly","1-4_3RF","1-4_B_3RUF"
"V177","Assembly","1-4_5LG","1-4_5LSG"
"V177","Assembly","1-4_5LF","1-4_5LUF"
"V177","Assembly","1-4_5RG","1-4_5RSG"
"V177","Assembly","1-4_5RF","1-4_5RUF"
"V177","Assembly","1-4_7LG","1-4_7LSG"
"V177","Assembly","1-4_7LF","1-4_7LUF"
"V177","Assembly","1-4_7RG","1-4_7RSG"
"V177","Assembly","1-4_7RF","1-4_7RUF"
"V177","Assembly","1-5_3LG","1-5_3LSG"
"V177","Assembly","1-5_3LF","1-5_3LUF"
"V177","Assembly","1-5_3RG","1-5_3RSG"
"V177","Assembly","1-5_3RF","1-5_3RUF"
"V177","Assembly","1-5_5LG","1-5_5LSG"
"V177","Assembly","1-5_5LF","1-5_5LUF"
"V177","Assembly","1-5_5RG","1-5_5RSG"
"V177","Assembly","1-5_5RF","1-5_5RUF"
"V177","Assembly","5-6_2LG","5-6_2LSG"
"V177","Assembly","5-6_2LF","5-6_2LUF"
